안영희,64,144
안길동,62,153
성길동,58,146
서철수,72,169
박철수,80,196
이지매,62,150
신꺽정,52,188
성철수,47,194
김꺽정,57,197
홍지매,75,186
이철수,51,163
이지매,56,184
강영희,97,190
신길동,92,142
서지매,61,142
홍꺽정,49,179
신꺽정,81,183
이꺽정,59,188
홍영희,69,191
이철수,72,170
이영희,68,185
신지매,86,183
안꺽정,66,173
서꺽정,60,185
신꺽정,79,179
안지매,75,151
서철수,87,173
서길동,41,156
신꺽정,94,166
성꺽정,63,143
최철수,71,161
서철수,42,165
최철수,54,181
이길동,49,151
서지매,96,140
강길동,52,173
박지매,75,152
성길동,91,156
김철수,48,142
안영희,97,179
홍길동,86,169
이철수,52,160
성철수,68,155
최영희,79,142
홍영희,93,186
최지매,57,146
김꺽정,68,197
신철수,57,198
홍꺽정,50,185
이지매,52,196
강꺽정,94,173
이지매,48,145
박영희,62,150
최길동,66,169
성영희,81,155
강지매,57,150
안지매,89,147
강길동,50,141
강꺽정,89,193
홍꺽정,57,156
김영희,98,165
최꺽정,41,185
강길동,47,179
성철수,99,159
서지매,46,169
홍영희,62,140
신꺽정,52,141
강철수,45,153
성꺽정,55,179
이꺽정,42,146
김지매,70,178
김철수,77,178
강철수,91,197
서지매,46,154
성철수,56,192
홍지매,66,152
서철수,54,167
신길동,55,170
성길동,47,185
박꺽정,52,163
홍꺽정,77,165
신철수,41,174
서꺽정,41,190
김철수,97,158
강철수,75,147
김지매,76,153
성꺽정,54,166
성철수,71,155
성길동,48,170
안지매,46,170
서길동,80,175
이영희,91,166
성철수,89,176
최지매,94,197
박철수,83,185
박꺽정,76,146
강길동,91,159
서길동,45,170
박영희,98,160
이지매,85,167
홍길동,72,176
신지매,42,171
성꺽정,45,148
안꺽정,73,193
박지매,95,161
홍철수,54,162
강꺽정,87,185
성지매,69,179
안꺽정,60,168
박영희,92,185
서철수,84,160
김철수,43,185
홍꺽정,42,142
이철수,63,166
강철수,88,160
성꺽정,54,195
신길동,57,140
성길동,59,172
이길동,80,186
박길동,74,184
홍꺽정,81,196
안영희,80,144
최철수,75,178
홍영희,96,159
강철수,68,152
서철수,64,189
강길동,72,198
최꺽정,55,164
홍철수,76,190
이길동,53,167
성지매,74,194
신지매,62,151
홍지매,45,156
신길동,80,194
신길동,56,182
강철수,64,167
최길동,86,175
김지매,84,183
최지매,78,161
김길동,91,186
최길동,65,156
이영희,52,194
성지매,98,185
신길동,81,174
이지매,45,152
신철수,79,184
김지매,66,155
이철수,87,160
김철수,71,173
홍영희,86,159
강꺽정,59,195
이길동,52,158
성꺽정,64,190
강꺽정,41,161
안철수,40,187
안영희,69,152
안영희,53,171
안꺽정,64,150
김지매,64,179
서길동,53,157
김길동,60,177
김꺽정,68,159
이지매,43,143
안꺽정,40,188
최길동,87,168
최지매,76,147
박꺽정,63,171
홍영희,40,169
안철수,72,191
최꺽정,49,147
강철수,81,159
홍꺽정,70,164
신길동,54,198
김영희,58,197
김길동,57,166
최지매,61,166
신지매,99,154
안지매,60,175
최철수,66,180
이철수,89,162
강꺽정,46,183
신영희,48,160
홍철수,63,163
박영희,77,190
신지매,52,174
김철수,88,145
최철수,74,173
강철수,44,157
안철수,45,188
강지매,64,173
홍지매,94,160
안꺽정,41,174
최지매,44,175
성꺽정,97,182
박지매,67,155
홍철수,43,142
성길동,45,176
최꺽정,63,183
서지매,72,190
이철수,89,194
이영희,62,188
신꺽정,50,165
강철수,91,170
최영희,97,140
박영희,78,187
강길동,52,190
박철수,68,147
김철수,78,146
홍길동,87,181
박길동,42,175
박꺽정,78,141
성꺽정,78,157
홍길동,40,167
이영희,79,149
강길동,52,159
최길동,51,176
이꺽정,64,159
김길동,52,169
홍영희,67,195
서영희,65,177
신길동,73,161
서지매,55,148
홍영희,80,183
홍철수,81,190
강영희,48,143
성영희,97,156
홍길동,88,148
신꺽정,68,196
성영희,83,196
서길동,44,198
이철수,71,156
홍지매,82,174
최철수,80,158
최길동,97,153
최길동,89,184
성지매,67,162
최길동,90,193
김영희,53,143
김꺽정,79,159
성지매,59,151
김지매,91,141
신지매,76,154
김꺽정,81,166
홍꺽정,78,198
서길동,41,169
안영희,72,151
이꺽정,55,155
서지매,43,165
성영희,86,191
서철수,51,180
홍철수,40,147
안지매,91,187
김길동,50,154
최철수,56,146
성꺽정,53,185
강길동,99,184
안지매,82,151
최철수,48,150
이길동,82,197
최꺽정,57,167
박영희,49,152
김영희,81,196
신지매,80,150
성영희,98,193
홍길동,72,182
김영희,83,147
이영희,94,175
신철수,57,179
홍길동,91,167
성지매,95,148
강영희,98,145
홍지매,98,173
안철수,61,165
이지매,91,175
최지매,92,165
성꺽정,90,156
이지매,76,165
신철수,74,170
홍영희,86,148
이지매,67,153
홍길동,89,198
성영희,76,183
서철수,88,146
신길동,51,194
홍길동,78,178
신철수,89,154
홍철수,78,179
성꺽정,72,193
신영희,49,162
최꺽정,75,184
박철수,71,151
김영희,87,176
강영희,63,181
김지매,79,146
이철수,97,168
안꺽정,42,145
박길동,41,161
신영희,63,154
이영희,61,170
이철수,96,162
성길동,65,160
홍길동,51,149
박철수,55,196
성꺽정,97,143
김길동,89,198
김지매,69,182
안꺽정,86,186
이꺽정,91,150
서꺽정,42,145
강영희,52,156
홍꺽정,95,143
안길동,76,172
강철수,40,148
김철수,91,184
안영희,58,166
최영희,55,183
이철수,96,162
강철수,52,163
서철수,88,176
최길동,76,150
성꺽정,80,164
이지매,97,145
홍지매,79,150
박꺽정,68,152
성철수,66,159
성길동,98,141
박꺽정,80,188
홍지매,93,157
안지매,43,199
김꺽정,80,198
홍지매,55,164
신지매,61,188
신지매,69,148
안영희,45,176
서지매,56,188
김영희,45,143
이영희,82,161
신길동,98,140
신영희,66,185
성꺽정,67,156
신꺽정,45,140
신지매,83,177
서지매,67,150
홍영희,85,152
신지매,49,168
박지매,58,196
안철수,42,142
최철수,77,192
성영희,95,166
서철수,41,140
이철수,73,171
박철수,55,184
성영희,75,193
성영희,76,172
성길동,45,168
박길동,54,148
강지매,92,142
이지매,45,148
신철수,94,163
이철수,59,147
서지매,54,169
홍영희,48,193
이영희,40,185
강지매,99,152
박영희,49,142
김철수,82,182
서길동,40,180
김길동,90,180
박영희,90,189
서철수,69,140
홍철수,60,149
안길동,82,197
강지매,62,167
홍지매,81,145
박지매,70,182
성영희,46,177
박지매,77,180
신철수,77,165
안꺽정,79,162
최영희,55,197
박꺽정,72,183
신길동,50,152
성영희,88,142
김길동,70,161
성철수,73,189
박길동,50,174
박지매,69,189
이길동,83,172
서영희,76,185
박영희,80,190
신영희,40,178
강길동,90,194
강영희,46,181
이길동,55,142
성영희,59,181
박철수,65,187
신꺽정,93,172
홍철수,94,168
서지매,65,159
홍철수,41,148
이지매,93,142
최지매,79,190
이길동,93,150
안꺽정,54,153
김철수,47,177
홍영희,67,179
강길동,62,149
신길동,71,166
홍영희,71,166
신영희,84,166
안지매,82,163
홍철수,63,141
박영희,73,191
홍꺽정,58,196
안길동,88,170
성꺽정,99,155
최지매,55,143
이꺽정,94,165
홍길동,58,187
이철수,99,157
강철수,76,194
성꺽정,97,190
서지매,77,166
홍길동,60,152
김지매,49,164
이길동,69,147
박영희,83,144
김꺽정,62,174
홍지매,99,145
이꺽정,71,150
이지매,99,172
박영희,95,176
안영희,68,163
최꺽정,81,185
안영희,90,151
신영희,64,165
이철수,81,180
최길동,42,189
최꺽정,43,146
박꺽정,94,186
서꺽정,50,191
신꺽정,40,196
이지매,45,190
서영희,93,190
성철수,57,189
박길동,61,143
박철수,74,143
박꺽정,71,149
이지매,99,184
김꺽정,83,143
서철수,79,179
박영희,92,166
신철수,60,152
성길동,98,154
안꺽정,86,161
안영희,54,183
김지매,96,151
김꺽정,70,175
강철수,44,181
이길동,91,182
최영희,62,180
김길동,79,194
최길동,84,161
이철수,53,184
홍철수,85,167
최철수,61,148
최꺽정,91,158
최지매,47,197
성영희,78,149
최철수,73,145
박지매,67,193
홍꺽정,99,165
강영희,67,142
이지매,52,147
서꺽정,63,148
최길동,89,147
홍지매,71,167
홍철수,79,185
신영희,60,179
이길동,93,152
이길동,53,164
강꺽정,63,198
홍철수,96,175
이철수,80,162
김지매,65,147
성꺽정,93,175
서꺽정,43,173
신지매,56,168
김지매,68,145
김지매,40,159
박길동,58,198
신길동,45,177
성영희,73,182
이길동,73,186
